App.,Athlete,Representing,Birth/Death,Games,Period (age of first/last),Sport,Gold,Silver,Bronze,Total
6,Sarah Schleper,United States (4) and Mexico (2),1979,"1998–2010, 2018–2022",24 years (19/43),Alpine skiing,0.0,0.0,0.0,0
6,Roland Fischnaller,Italy,1980,2002–2022,20 years (22/42),Snowboarding,0.0,0.0,0.0,0
6,Lee Chae-won,/ South Korea,1981,2002–2022,20 years (21/41),Cross-country skiing,0.0,0.0,0.0,0
6,Tomoka Takeuchi,Japan,1983,2002–2022,20 years (19/39),Snowboarding,0.0,1.0,0.0,1
6,Bat-Ochiryn Ser-Od,Mongolia,1981,2004–2024,20 years (22/42),Athletics,0.0,0.0,0.0,0
6,Chuang Chih-yuan,Chinese Taipei,1981,2004–2024,20 years (23/43),Table tennis,0.0,0.0,0.0,0
6,Tõnu Endrekson,Estonia,1979,2004–2024,20 years (25/45),Rowing,0.0,1.0,1.0,2
6,Rudy Fernández,Spain,1985,2004–2024,20 years (19/39),Basketball,0.0,2.0,1.0,3
6,Panagiotis Gionis,Greece,1980,2004–2024,20 years (24/44),Table tennis,0.0,0.0,0.0,0
6,Steve Guerdat,Switzerland,1982,2004–2024,20 years (22/42),Equestrian,1.0,1.0,1.0,3
6,Pablo Herrera Allepuz,Spain,1982,2004–2024,20 years (22/42),Beach volleyball,0.0,0.0,0.0,0
6,Nikola Karabatić,France,1984,2004–2024,20 years (20/40),Handball,3.0,1.0,0.0,4
6,Kristel Köbrich,Chile,1985,2004–2024,20 years (18/38),Swimming,0.0,0.0,0.0,0
6,Olena Kostevych,Ukraine,1985,2004–2024,20 years (19/39),Shooting,1.0,0.0,3.0,4
6,Mijaín López Núñez,Cuba,1982,2004–2024,20 years (21/41),Wrestling,5.0,0.0,0.0,5
6,Marta,Brazil,1986,2004–2024,20 years (18/38),Football,0.0,3.0,0.0,3
6,Takaharu Furukawa,Japan,1984,2004–2024,20 years (20/39),Archery,0.0,1.0,2.0,3
6,Diana Taurasi,United States,1982,2004–2024,20 years (22/42),Basketball,6.0,0.0,0.0,6
6,,,,,,,,,,
