Index,Team,Num of summer games,Summer gold medals,Summer silver medals,Bronze medals,Total summer medals,Num of winter games,Winter gold medals,Winter silver medals,Winter bronze medals,Total winter medals,Total number of Games,Total gold medals,Total silver medals,Total bronze medals,Total of all medals,CleanCountry,Avg_num_of_medals_per_game,Percent of gold medals,Percent of silver medals,Percent of bronze medals,Continent,Year,Rank,NOC,Gold years,Silver years,Bronze years,Total years,Yug_group,Participation_Status,Status
133.0,,29.0,151.0,181.0,182.0,514.0,24.0,65.0,51.0,60.0,176.0,53.0,216.0,232.0,242.0,690.0,,13.0188679245283,31.30434782608696,33.6231884057971,35.07246376811594,Europe,2012,37,,1.0,4.0,3.0,8.0,UNKNOWN,Participated,active
133.0,,29.0,151.0,181.0,182.0,514.0,24.0,65.0,51.0,60.0,176.0,53.0,216.0,232.0,242.0,690.0,,13.0188679245283,31.30434782608696,33.6231884057971,35.07246376811594,Europe,2008,56,,0.0,4.0,1.0,5.0,UNKNOWN,Participated,active
133.0,,29.0,151.0,181.0,182.0,514.0,24.0,65.0,51.0,60.0,176.0,53.0,216.0,232.0,242.0,690.0,,13.0188679245283,31.30434782608696,33.6231884057971,35.07246376811594,Europe,2004,19,,4.0,2.0,1.0,7.0,UNKNOWN,Participated,active
133.0,,29.0,151.0,181.0,182.0,514.0,24.0,65.0,51.0,60.0,176.0,53.0,216.0,232.0,242.0,690.0,,13.0188679245283,31.30434782608696,33.6231884057971,35.07246376811594,Europe,2000,18,,4.0,5.0,3.0,12.0,UNKNOWN,Participated,active
133.0,,29.0,151.0,181.0,182.0,514.0,24.0,65.0,51.0,60.0,176.0,53.0,216.0,232.0,242.0,690.0,,13.0188679245283,31.30434782608696,33.6231884057971,35.07246376811594,Europe,1996,29,,2.0,4.0,2.0,8.0,UNKNOWN,Participated,active
133.0,,29.0,151.0,181.0,182.0,514.0,24.0,65.0,51.0,60.0,176.0,53.0,216.0,232.0,242.0,690.0,,13.0188679245283,31.30434782608696,33.6231884057971,35.07246376811594,Europe,1992,27,,1.0,7.0,4.0,12.0,UNKNOWN,Participated,active
133.0,,29.0,151.0,181.0,182.0,514.0,24.0,65.0,51.0,60.0,176.0,53.0,216.0,232.0,242.0,690.0,,13.0188679245283,31.30434782608696,33.6231884057971,35.07246376811594,Europe,1988,32,,0.0,4.0,7.0,11.0,UNKNOWN,Participated,active
133.0,,29.0,151.0,181.0,182.0,514.0,24.0,65.0,51.0,60.0,176.0,53.0,216.0,232.0,242.0,690.0,,13.0188679245283,31.30434782608696,33.6231884057971,35.07246376811594,Europe,1984,16,,2.0,11.0,6.0,19.0,UNKNOWN,Participated,active
133.0,,29.0,151.0,181.0,182.0,514.0,24.0,65.0,51.0,60.0,176.0,53.0,216.0,232.0,242.0,690.0,,13.0188679245283,31.30434782608696,33.6231884057971,35.07246376811594,Europe,1980,11,,3.0,3.0,6.0,12.0,UNKNOWN,Participated,active
133.0,,29.0,151.0,181.0,182.0,514.0,24.0,65.0,51.0,60.0,176.0,53.0,216.0,232.0,242.0,690.0,,13.0188679245283,31.30434782608696,33.6231884057971,35.07246376811594,Europe,1976,12,,4.0,1.0,0.0,5.0,UNKNOWN,Participated,active
